ticker,event_ticker,series_ticker,league,title,subtitle,yes_sub_title,no_sub_title,market_type,status,result,label_kind,label_usable,result_binary,settlement_value,last_price,yes_bid,yes_ask,no_bid,no_ask,implied_prob_close,odds_multiplier_yes,odds_multiplier_no,edge_yes,edge_no,volume,open_interest,spread,notional_value,open_time,close_time,expiration_time,settlement_ts,created_time,strike_type,floor_strike,cap_strike,functional_strike,can_close_early,rules_primary
KXNBA1HTOTAL-26MAR21INDSAS-125,KXNBA1HTOTAL-26MAR21INDSAS,,NBA,Indiana vs San Antonio: First Half Total?,,Over 125.5 1H points scored,Over 125.5 1H points scored,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,0.01,0.99,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,2953.0,2953.0,0.01,1.0,2026-03-21T04:36:00Z,2026-03-22T02:51:29Z,2026-04-05T00:00:00Z,2026-03-22T02:54:30.939204Z,2026-03-21T04:16:31.557659Z,greater,125.5,,,True,"If the teams in the game collectively score more than 125.5 points in the 1st Half of the Indiana vs San Antonio professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBA1HTOTAL-26MAR21INDSAS-116,KXNBA1HTOTAL-26MAR21INDSAS,,NBA,Indiana vs San Antonio: First Half Total?,,Over 116.5 1H points scored,Over 116.5 1H points scored,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,845.0,756.0,0.010000000000000009,1.0,2026-03-21T04:36:00Z,2026-03-22T02:51:28Z,2026-04-05T00:00:00Z,2026-03-22T02:54:30.938124Z,2026-03-21T04:16:31.557659Z,greater,116.5,,,True,"If the teams in the game collectively score more than 116.5 points in the 1st Half of the Indiana vs San Antonio professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBA1HTOTAL-26MAR21INDSAS-119,KXNBA1HTOTAL-26MAR21INDSAS,,NBA,Indiana vs San Antonio: First Half Total?,,Over 119.5 1H points scored,Over 119.5 1H points scored,binary,finalized,no,binary,True,0.0,0.0,0.65,0.0,0.55,0.45,1.0,0.65,1.5384615384615383,2.857142857142857,-1.0,1.8571428571428572,947.0,576.0,0.55,1.0,2026-03-21T04:36:00Z,2026-03-22T02:51:28Z,2026-04-05T00:00:00Z,2026-03-22T02:54:30.938536Z,2026-03-21T04:16:31.557659Z,greater,119.5,,,True,"If the teams in the game collectively score more than 119.5 points in the 1st Half of the Indiana vs San Antonio professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLJKUMINGA0-25,KXNBAPTS-26MAR21GSWATL,,NBA,Jonathan Kuminga: 25+ points,,Jonathan Kuminga: 25+,Jonathan Kuminga: 25+,binary,finalized,no,binary,True,0.0,0.0,0.19,0.0,0.1,0.9,1.0,0.19,5.2631578947368425,1.2345679012345678,-1.0,0.23456790123456783,3808.0,3807.0,0.1,1.0,2026-03-21T20:07:00Z,2026-03-22T02:50:43Z,2026-04-05T00:00:00Z,2026-03-22T02:56:50.847507Z,2026-03-21T20:02:24.897015Z,structured,24.5,,,True,"If Jonathan Kuminga records 25+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLJKUMINGA0-20,KXNBAPTS-26MAR21GSWATL,,NBA,Jonathan Kuminga: 20+ points,,Jonathan Kuminga: 20+,Jonathan Kuminga: 20+,binary,finalized,no,binary,True,0.0,0.0,0.35,0.0,0.23,0.77,1.0,0.35,2.857142857142857,1.5384615384615383,-1.0,0.5384615384615383,8034.0,7921.0,0.23,1.0,2026-03-21T20:07:00Z,2026-03-22T02:50:43Z,2026-04-05T00:00:00Z,2026-03-22T02:56:50.846448Z,2026-03-21T20:02:19.687488Z,structured,19.5,,,True,"If Jonathan Kuminga records 20+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-GSWDGREEN23-15,KXNBAPTS-26MAR21GSWATL,,NBA,Draymond Green: 15+ points,,Draymond Green: 15+,Draymond Green: 15+,binary,finalized,no,binary,True,0.0,0.0,0.44,0.0,0.04,0.96,1.0,0.44,2.272727272727273,1.7857142857142856,-1.0,0.7857142857142856,270.0,246.0,0.04,1.0,2026-03-21T05:11:00Z,2026-03-22T02:50:42Z,2026-04-05T00:00:00Z,2026-03-22T02:56:50.840229Z,2026-03-21T05:01:49.842521Z,structured,14.5,,,True,"If Draymond Green records 15+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLNALEXANDERWALKER7-30,KXNBAPTS-26MAR21GSWATL,,NBA,Nickeil Alexander-Walker: 30+ points,,Nickeil Alexander-Walker: 30+,Nickeil Alexander-Walker: 30+,binary,finalized,no,binary,True,0.0,0.0,0.11,0.0,0.23,0.77,1.0,0.11,9.090909090909092,1.1235955056179776,-1.0,0.12359550561797761,3833.0,3833.0,0.23,1.0,2026-03-21T05:11:00Z,2026-03-22T02:50:42Z,2026-04-05T00:00:00Z,2026-03-22T02:56:50.840855Z,2026-03-21T05:01:49.842521Z,structured,29.5,,,True,"If Nickeil Alexander-Walker records 30+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-GSWDGREEN23-20,KXNBAPTS-26MAR21GSWATL,,NBA,Draymond Green: 20+ points,,Draymond Green: 20+,Draymond Green: 20+,binary,finalized,no,binary,True,0.0,0.0,0.07,0.0,0.23,0.77,1.0,0.07,14.285714285714285,1.0752688172043012,-1.0,0.07526881720430123,543.0,543.0,0.23,1.0,2026-03-21T05:11:00Z,2026-03-22T02:50:42Z,2026-04-05T00:00:00Z,2026-03-22T02:56:50.841652Z,2026-03-21T05:01:49.842521Z,structured,19.5,,,True,"If Draymond Green records 20+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLJKUMINGA0-10,KXNBAPTS-26MAR21GSWATL,,NBA,Jonathan Kuminga: 10+ points,,Jonathan Kuminga: 10+,Jonathan Kuminga: 10+,binary,finalized,no,binary,True,0.0,0.0,0.1,0.0,0.09,0.91,1.0,0.1,10.0,1.1111111111111112,-1.0,0.11111111111111116,460.0,427.0,0.09,1.0,2026-03-21T20:07:00Z,2026-03-22T02:50:42Z,2026-04-05T00:00:00Z,2026-03-22T02:56:50.842731Z,2026-03-21T20:02:09.211571Z,structured,9.5,,,True,"If Jonathan Kuminga records 10+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR21GSWATL-ATLJKUMINGA0-15,KXNBAPTS-26MAR21GSWATL,,NBA,Jonathan Kuminga: 15+ points,,Jonathan Kuminga: 15+,Jonathan Kuminga: 15+,binary,finalized,no,binary,True,0.0,0.0,0.23,0.0,0.23,0.77,1.0,0.23,4.3478260869565215,1.2987012987012987,-1.0,0.2987012987012987,4919.0,4904.0,0.23,1.0,2026-03-21T20:07:00Z,2026-03-22T02:50:42Z,2026-04-05T00:00:00Z,2026-03-22T02:56:50.844964Z,2026-03-21T20:02:14.433388Z,structured,14.5,,,True,"If Jonathan Kuminga records 15+ Points in the Golden State at Atlanta professional basketball game originally scheduled for Mar 21, 2026, then the market resolves to Yes."
